file,class,method,variable,usage
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPosedService.java,org.lsposed.lspd.service.LSPosedService,registerUserChangeReceiver/0,ACTION_USER_ADDED,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Constructor,toString/0,isExact,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Constructor,toString/0,clazz,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Constructor,toString/0,parameters,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Constructor,"Constructor/3[java.lang.Class<?>,java.lang.Class<?>[],boolean]",isExact,4
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Constructor,"Constructor/3[java.lang.Class<?>,java.lang.Class<?>[],boolean]",clazz,4
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Constructor,"Constructor/3[java.lang.Class<?>,java.lang.Class<?>[],boolean]",parameters,4
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Constructor,equals/1[java.lang.Object],isExact,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Constructor,equals/1[java.lang.Object],clazz,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,de.robv.android.xposed.XposedHelpers$MemberCacheKey$Constructor,equals/1[java.lang.Object],parameters,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\magisk-loader\src\main\java\org\lsposed\lspd\util\ParasiticManagerHooker.java,org.lsposed.lspd.util.ParasiticManagerHooker,getManagerPkgInfo/1[android.content.pm.ApplicationInfo],managerPkgInfo,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\magisk-loader\src\main\java\org\lsposed\lspd\util\ParasiticManagerHooker.java,org.lsposed.lspd.util.ParasiticManagerHooker,getManagerPkgInfo/1[android.content.pm.ApplicationInfo],managerFd,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\magisk-loader\src\main\java\org\lsposed\lspd\util\ParasiticManagerHooker.java,org.lsposed.lspd.util.ParasiticManagerHooker,start/0,managerFd,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\fragment\RepoItemFragment.java,org.lsposed.manager.ui.fragment.RepoItemFragment$InformationAdapter,"onBindViewHolder/2[org.lsposed.manager.ui.fragment.RepoItemFragment.InformationAdapter.ViewHolder,int]",collaboratorsRow,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\fragment\RepoItemFragment.java,org.lsposed.manager.ui.fragment.RepoItemFragment$InformationAdapter,"onBindViewHolder/2[org.lsposed.manager.ui.fragment.RepoItemFragment.InformationAdapter.ViewHolder,int]",homepageRow,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\fragment\RepoItemFragment.java,org.lsposed.manager.ui.fragment.RepoItemFragment$InformationAdapter,"onBindViewHolder/2[org.lsposed.manager.ui.fragment.RepoItemFragment.InformationAdapter.ViewHolder,int]",sourceUrlRow,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\fragment\RepoItemFragment.java,org.lsposed.manager.ui.fragment.RepoItemFragment$InformationAdapter,getItemCount/0,rowCount,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\fragment\RepoItemFragment.java,org.lsposed.manager.ui.fragment.RepoItemFragment$InformationAdapter,InformationAdapter/0,collaboratorsRow,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\fragment\RepoItemFragment.java,org.lsposed.manager.ui.fragment.RepoItemFragment$InformationAdapter,InformationAdapter/0,homepageRow,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\fragment\RepoItemFragment.java,org.lsposed.manager.ui.fragment.RepoItemFragment$InformationAdapter,InformationAdapter/0,sourceUrlRow,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\fragment\RepoItemFragment.java,org.lsposed.manager.ui.fragment.RepoItemFragment$InformationAdapter,InformationAdapter/0,rowCount,3
